index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
38,2.0,4.0,2.0,6.0,6.0,-0.332537986,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
89,2.0,4.0,4.0,4.0,4.0,-0.765861111,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
42,2.0,2.0,4.0,4.0,6.0,-0.343127194,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
252,2.0,2.0,2.0,4.0,2.0,-0.635083333,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,False,
209,2.0,4.0,4.0,8.0,2.0,-0.569402778,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,False,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
71,4.0,4.0,2.0,8.0,4.0,-0.4445,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,,False,True,
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.005869397323069022,False,True,1.0477235230292226
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.005105409859087523,False,True,0.35757821839014203
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.005103630606153437,False,True,1.4212221410432788
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.006321404581326008,False,True,0.8013549611789836
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.005100687785221715,False,True,0.46111496174431826
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,152/188/260//30/38/94//106/177/193//23/28/89//42/124/126//198/202/252//137/209/215//125/213/216//21/71/74//5/6/64//107/119/197//3/4/57//65/66/158//13/51/77//29/78/79//31/70/136//101/185/261//15/27/84//60/118/140,0.0032015404269556944,False,True,0.2784655573047531
