index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
223,2.0,2.0,2.0,2.0,2.0,-1.058027778,,,False,False,
263,2.0,2.0,4.0,8.0,6.0,-0.730130069,,,False,False,
95,2.0,4.0,2.0,4.0,4.0,-0.576430556,,,False,True,
242,2.0,2.0,4.0,2.0,6.0,-1.715388889,,,False,False,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
204,4.0,4.0,4.0,4.0,2.0,-0.556930556,,,False,False,
270,2.0,4.0,2.0,8.0,2.0,-0.836875,,,False,False,
93,2.0,4.0,2.0,8.0,4.0,-0.449402778,,,False,True,
72,4.0,2.0,2.0,2.0,4.0,-0.389361375,,,False,True,
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,,0.17803366327610962,False,True,0.6167753193586055
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.25583108519294845,False,True,0.93590776908933
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.3454233870257106,False,True,0.2521635933589191
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.41394141424687114,False,True,1.6789322637087858
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.41829810531300543,False,True,0.8820057616356703
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.3924697235966672,False,True,0.20067406845738264
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.2777687792300294,False,True,0.0848348385061593
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.36182302461259475,False,True,1.1751753079912879
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.18042637719021756,False,True,0.6264713292598535
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.25579115022106613,False,False,0.7784849535502907
