index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
275,2.0,2.0,2.0,6.0,4.0,-0.574871111,,,False,False,
274,2.0,2.0,2.0,6.0,4.0,-0.750597222,,,False,False,
150,4.0,2.0,2.0,2.0,4.0,-1.702361111,,,False,True,
263,2.0,2.0,4.0,8.0,6.0,-0.730130069,,,False,False,
109,4.0,2.0,2.0,4.0,2.0,-0.455934792,,,False,True,
266,2.0,4.0,2.0,8.0,2.0,-0.745151792,,,False,False,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,0.04122142376678212,False,True,0.36647138787787187
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.039161972690214895,False,True,0.04036157769697544
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,0.029075394113978026,False,False,0.013812346259594918
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,0.08904849976093161,False,True,0.0033984742475657395
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,0.040674776385514436,False,False,0.10692898239665251
129,4.0,4.0,4.0,4.0,2.0,-0.469290486,,0.10625638159138605,False,True,0.15118421829154244
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.11697889952138123,False,True,0.1023332025141181
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.0468462759840693,False,True,0.4239718130974214
167,2.0,2.0,4.0,2.0,2.0,-0.826847028,,0.03632078964914053,False,True,0.10983877841562509
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.07856542961818738,False,True,0.07344445989709406
