index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
14951,64.0,3.0,10.0,27.0,-175365.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,,False,True,
6060,24.0,3.0,13.0,12.0,-110964.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,,False,True,
15013,44.0,3.0,5.0,27.0,-158112.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,,False,True,
5754,24.0,3.0,14.0,13.0,-117065.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,0.00014164597651501894,False,True,0.02170545467233266
9114,24.0,1.0,4.0,2.0,-116206.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,0.001351115706245428,False,False,0.8110612897765705
7733,34.0,3.0,16.0,6.0,-80652.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,0.00019505387429442786,False,True,0.1354923570130654
6868,44.0,3.0,16.0,9.0,-102627.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,0.02709668443615614,False,True,0.28316988437278656
6149,34.0,3.0,8.0,12.0,-94164.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,0.00034829744593732934,False,True,1.0713741597065796
4800,24.0,3.0,3.0,17.0,-126055.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,2.1990967804667313e-05,False,True,1.2771515558778974
5986,44.0,3.0,1.0,13.0,-94965.0,1548/14951/17255//6060/11820//1640/15013/17317//5754/11514//9114//7733/13493//6868/12628//6149/11909//4800/10560//5986/11746//8023/13783//6781/12541//9424//8291//8886//2597//5426/11186//5985/11745//5696/11456//3//2579//9157//6867/12627//7714/13474//7425/13185//271/14100/16404//562/14294/16598//6830/12590//6723/12483//6275/12035//3987/9747//8005/13765//7300/13060//7913/13673//7226/12986//8167//7442/13202//8180//8145/13905//8558//8092/13852//8559//8702//131//5719/11479//2865//5125/10885//8488//3150/16019/18323//13920/16224//7428/13188//4277/10037//5012/10772//273//4690/10450//7446/13206//8111/13871//8436//3969/9729//8019/13779//8833//0/1//4405/10165,6.611899682695849e-07,False,True,0.8625607329426448
